SNBS 2.1 Hochbau - Nachweisliste;;;;Hinweis: Texte in braun gelten für Bildungsbauten;;;;Zuständigkeit;;;;;;;;;;;;;KP1;;;KP2;;Hilfstools;Nachweisdokumente und Verfahren;;;;;;
;;303.3;Umwelt-, entsorgungs- und gesundheitsrelevante Bestandteile;1. Biozide und Holzschutzmittel in Innenräumen ;;x;;;;;;;;;;;;;;;;;;;;;-;;-;;• Aktuelle Produktedatenblätter oder Sicherheitsdatenblätter der verwendeten Beschichtungsstoffe, Auszug Werkvertrag (Verbot von chemischen Holzschutzmitteln), aktuelle Produktdatenblätter oder Sicherheitsdatenblätter eventuell verwendeter Holzbehandlungsmittel.;;
;;;;2. Formaldehyd-Emissionen aus Baumaterialien;;;;;;;;;;;;;;;;;;;;;;;-;;-;;"
• Aktuelle Produktedatenblätter, Sicherheitsdatenblätter oder Prüfatteste der verwendeten Holzwerkstoffe und verleimten Holzprodukte mit Angaben zu Leimart und Formaldehydemission des Produkts, Ausdruck der Lignum-Produktliste mit Bezeichnung der eingesetzten Holzwerkstoffe oder aktuelle Produktdatenblätter, Sicherheitsdatenblätter oder Prüfatteste der verwendeten Bauprodukte mit Angaben zu Leimart bzw. Formaldehydemission des Produktes., Bestätigung des Herstellers, dass das ganze verwendete System kein Formaldehyd abgibt oder Prüfattest zur Formaldehydemission des verwendeten Systems, Ergebnisse Raumluftmessungen Formaldehyd";;
;;;;3. Lösemittel-Emissionen aus Bau- und Hilfsstoffen;;;;;;;;;;;;;;;;;;;;;;;-;;-;;• Aktuelle Produktedatenblätter, VSLF-Deklarationen oder Sicherheitsdatenblätter der verwendeten Produkte, Ergebnisse der Raumluftmessungen TVOC;;
;;;;4. Montage- und Abdichtungsarbeiten;;;;;;;;;;;;;;;;;;;;;;;-;;-;;• Auszug Werkvertrag (Verbot von Montage- oder Füllschäumen);;
;;;;5. Schwermetallhaltige bewitterte Bauteile;;;;;;;;;;;;;;;;;;;;;;;-;;• Falls Objekt an Mischkanalisation angeschlossen: Bestätigung der Gemeinde, dass keine Absicht zum Wechsel auf Trennkanalisation besteht, Fassadenpläne, Dachaufsicht;;• Auszug Werkvertrag (verwendete Bleche im Aussenbereich oder Metallfilter);;
;;;;6. Raumluftmessungen (Formaldehyd);;;;;;;;;;;;;;;;;;;;;;;-;;-;;• Ergebnisse der Raumluftmessungen Formaldehyd;;
;;;;7. Raumluftmessungen (TVOC);;;;;;;;;;;;;;;;;;;;;;;-;;-;;• Ergebnisse der Raumluftmessungen TVOC;;
;;;;8. Dämmstoffe mit ungünstigen ökologischen Eigenschaften;;;;;;;;;;;;;;;;;;;;;;;-;;-;;"
• Auszug Werkvertrag oder Lieferschein mit Produkteangabe der verwendeten Dämmstoffe";;
;;;;9. Organisch-mineralische Verbundmaterialien;;;;;;;;;;;;;;;;;;;;;;;-;;-;;• Auszug Werkvertrag, Produktdatenblätter;;
;;;;10. Schwer trennbare Kunststoffbeläge und -abdichtungen;;;;;;;;;;;;;;;;;;;;;;;-;;-;;• Auszug Werkvertrag, Produktdatenblätter;;
;;;;11. Halogenfreie Installationsmaterialien;;;;;;;;;;;;;;;;;;;;;;;-;;-;;• Lieferschein mit Produktangabe;;
;;;;12. Biozidfreie Fassade;;;;;;;;;;;;;;;;;;;;;;;-;;-;;• Produkte-Datenblätter der eingesetzten Produkte;;
;304 Umwelt-schonender Betrieb;304.1;Systematische Inbetriebnahme;1. Funktionsprüfung;;;;;;;;x;x;;;;;x;;;;;;;;;-;;-;;• Dokumentation Funktionsprüfung (Protokolle);;
;;;;2. Inbetriebnahme mit Einregulierung;;;;;;;;;;;;;;;;;;;;;;;-;;-;;"• Terminplan
• SWKI-Abnahmeprotokolle (oder Liste der geplanten Tests)
• Mängelliste";;
;;;;3. Energetische Betriebsoptimierung unmittelbar nach der Übergabe;;;;;;;;;;;;;;;;;;;;;;;-;;-;;"• Beauftragung eBO* 
• Absichtserklärung eBO*";;
;;304.2;Energiemonitoring;1. Messkonzept Energiemonitoring;x;;;;;;;x;x;;;;;x;;;;;;;;"SNBS-Vorlage 304.2–
Energiemonitoring";-;;-;;• Messkonzept (vgl. SNBS-Vorlage);;
;;;;2. Installation der Messeinrichtungen;;;;;;;;x;x;;;;;x;;;;;;;;;-;;-;;• Protokoll / Dokumentation Installation;;
;;;;3. Speicherung und Messdatenverarbeitung;;;;;;;;x;x;;;;;x;;;;;;;;;-;;-;;• Produktblatt oder Fotografie des Geräts vor Ort;;
;;;;4. Darstellung der Messergebnisse;;;;;;;;x;x;;;;;x;;;;;;;;;-;;-;;• Liste der Personen;;
;;304.3;Abfallentsorgung und Anlieferungsbedingungen;1. Abfalltrennsysteme;;;;;;;;;;;;;x;x;;;;;;;;;-;;• Unterrichts- und Seminarräume, Büros / Gewerbe / Gastronomie / Retail: Auflistung, Bezeichnung Standort auf Plan;;• Kaufbeleg Abfalltrennsystem oder Fotografie vor Ort;;
;;;;2. Zwischenlagerungsmöglichkeiten / Anlieferungsmöglichkeiten;;;;;;;;;;;;;x;x;;;;;;;;;• Zielvereinbarung Vorstudien (Anforderungen an Anlieferung)                                                                                                                                                                                                                              ;;• Pläne mit Kennzeichnung der Fläche und Berechnung;;• Aktualisierte Pläne, Fotografien vor Ort;;
;;;;3. Angebote Wiederverwertung und Entsorgung;;;;;;;;;;;;;x;x;;;;;;;;;-;;• Auflistung;;• Umgebungspläne, Fotografien vor Ort;;
;305 Umwelt-schonende Mobilität;305.1;Mobilitätskonzept;1. Anzahl Personenwagenabstellplätze;;;;;;;;;;;x;;;;;;;;;;;;• Zielvereinbarung strategische Planung (Möglichkeit zur Reduktion der Parkplätze);;"• Nachweis zur minimalen Anzahl Autoparkplätze
• Pläne mit eingezeichneten Autoparkplätzen
• Mobilitätskonzept mit Massnahmenliste";;• Aktualisierte Dokumente;;
;;;;2. Angebot Veloabstellplätze;;;;;;;;;;;;;;;;;;;;;;;-;;"• Nachweis zur Anzahl Veloabstellplätze
• Pläne mit eingezeichneten Veloabstellplätzen
• Angaben zur Nutzerfreundlichkeit";;"• Aktualisierte Dokumente
• Fotos der Veloabstellplätze";;
;;;;3. Mobilitätsmanagementmassnahmen zur MIV-Reduktion;;;;;;;;;;;;;;;;;;;;;;;-;;"• Mobilitätskonzept mit Massnahmenliste
• Liste der zur Umsetzung vorgesehenen Massnahmen";;"• Aktualisiertes Mobilitätskonzept
• Aktualisierte Liste";;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NATUR UND LANDSCHAFT;306 Umgebung;306.1;Flora und Fauna;1. Vernetzung, Förderung und Schutz von Flora und Fauna;;;;;;;;;;;;x;;;;;;;;;;;-;;• Selbstdeklaration;;"• Selbstdeklaration
• Pläne und Konzepte
• «Checkliste tierfreundliche Gestaltung» von Minergie-ECO oder gleichwertiger Nachweis für Anforderungen «Nisthilfen» und «Vogelschutz»";;
;;;;2. Lebensräume und Artenvielfalt;;;;;;;;;;;;;;;;;;;;;;;-;;"• Umgebungsplan inkl. Dach- und Fassadenflächen mit markierten Bereichen mit standortgerechten Pflanzenarten, %-Anteil im Kommentarfeld des Online-Tools dokumentiert
• Liste der Pflanzenarten";;• Fotografien, Kaufbelege;;
;;;;3. Gehölzbestand;;;;;;;;;;;;;;;;;;;;;;;-;;"• Umgebungsplan mit markierten Flächen
• Liste der Pflanzenarten";;• Fotografien, Kaufbelege;;
;;;;4. Auflösung von Barrieren und Hindernissen;;;;;;;;;;;;;;;;;;;;;;;-;;• Umgebungsplan mit markierten überwindbaren Parzellengrenzen und markierten Kleintierfallen mit und ohne Ausstieghilfe, %-Anteil im Kommentarfeld des Online-Tools dokumentiert;;• Aktualisierte Dokumente;;
;;306.2;Versickerung und Retention;1. Versickerung und Retention;;;;;;x;;;;;;x;;;;;;;;;;;-;;• Umgebungs- / Dachflächenplan mit markierten Bereichen;;• Aktualisierte Unterlagen;;
;;;;2. Zusatzmassnahmen;;;;;;;;;;;;;;;;;;;;;;;-;;"• Liste der Massnahmen
• Nachweisdokumente";;• Aktualisierte Unterlagen;;
;307 Siedlungs-etnwicklung;307.1;Bauliche Verdichtung;1. Räumliche Dispersion;;;W/V;;;x;;;;;;;;;;;;;;;;;-;;• Luftbild (z.B. Google-Maps);;-;;
;;;;2. Ausnützungsziffer;;;;;;;;;;;;;;;;;;;;;;;-;;• Zonenordnung oder ähnliche Bestimmungen, Werte aus Richtplanungen etc.;;-;;
;;;;3. Ausbaugrad;;;;;;;;;;;;;;;;;;;;;;;• Zielvereinbarung strategische Planung (angestrebte Ausnützung);;-;;• Nachweis der Berechnung;;
;;;;1. Räumliche Dispersion;;;B;;;x;;;;;;;;;;;;;;;;;-;;• Luftbild (z.B. Google-Maps);;-;;
;;;;2. Zonierung und bisherige Bebauung;;;;;;;;;;;;;;;;;;;;;;;-;;• Zonenordnung, Situationsplan inkl. umgebender Überbauung;;-;;
;;;;3. Verdichtung;;;;;;;;;;;;;;;;;;;;;;;• Zielvereinbarung strategische Planung (Nutzung des Grundstücks);;"Neubau
• Situationsplan, Plan und Fläche von Erweiterungsmöglichkeiten
Erneuerung
• Studien (Vergleich) für alternative Ansätze bezüglich Erweiterung vs. Erneuerung/Umbau mit innerer Verdichtung";;-;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
